"TIME","POSITION","A1","A2","DA1","DA2"
63.25,2.94,4.58328433359938,5.36698852647356,0.360370636500419,0.404299898299922
63.75,2.73,4.58697656262508,5.37044988531895,0.423710720111122,0.459624506166996
64.25,3.15,4.59113617893602,5.37430596876156,0.493909705477683,0.522773729949398
64.75,2.94,4.59580648489296,5.37848517502681,0.570786263821316,0.581300786078044
65.25,3.36,4.60083833118244,5.38282778044508,0.649414669968631,0.625571074047923
65.75,3.15,4.60571077537126,5.38698971591642,0.702090729415709,0.641159712213183
66.25,3.57,4.61007665895844,5.39082437932984,0.712578709149545,0.628715209249831
66.75,3.36,4.61410469412735,5.39454791570019,0.686989994796056,0.604507144397706
67.25,3.78,4.61845915136476,5.3987445153946,0.658770686415944,0.598220929888197
67.75,3.57,4.62399411302828,5.40415137002215,0.661161984589587,0.639248092903861
68.25,3.99,4.63078165378682,5.41094570931453,0.675684841497656,0.717339793779896
68.75,3.78,4.63814765181952,5.41867057518842,0.660856859244861,0.795381086319872
69.25,4.2,4.64552358531072,5.42688773738915,0.615579182595724,0.856435186305971
69.75,3.99,4.65280599652652,5.43550762635434,0.577071230741172,0.911395025905513
70.25,4.41,4.66007742445341,5.44458902478378,0.566543790736246,0.971369005181054
70.75,4.2,4.66748562689884,5.45414744640061,0.59698235362471,1.06614457780489
71.25,4.62,4.67244711551684,5.46115114855018,0.608052907300779,1.12043084069187
71.75,4.41,4.66852823287413,5.45898669703456,0.617933031983388,1.06106380375322
72.25,4.83,4.65061484134209,5.4408370923773,0.690965560127193,0.883678140762621
72.75,4.62,4.6198857237328,5.40631426969552,0.83351658277684,0.648756537967375
73.25,5.04,4.58777912489164,5.36500448556327,1.07331446719524,0.575691275421592
73.75,4.83,4.56694599433927,5.32986061693385,1.28967967826337,0.754140607873007
74.25,5.25,4.5597557070947,5.30642461345067,1.32334871799502,1.02527872951314
74.75,5.04,4.5579513059067,5.29036656804664,1.21537950945064,1.21223625711141
75.25,4.62,4.5542502526776,5.27654453953735,1.10798631270543,1.27618708042228
75.75,4.2,4.54789368657667,5.26404841583264,1.03363191801391,1.24408511161648
76.25,4.41,4.54117925933793,5.25385864383211,0.970235653627913,1.16208771993267
76.75,3.99,4.53558426980598,5.24588067407382,0.927467966983549,1.09101528365018
77.25,4.2,4.53065441527818,5.23886041658495,0.888151217877268,1.04127365540921
77.75,3.78,4.52543605474393,5.2316479642986,0.832703495378703,0.988033995410925
78.25,3.99,4.51946921535415,5.22400519542022,0.757998293310527,0.912391047523785
78.75,3.57,4.51297575307491,5.2164460843231,0.671414834717419,0.821793569870376
79.25,3.78,4.50634472347711,5.20937876178882,0.577621531725167,0.730110458271354
79.75,3.36,4.49990780295828,5.20280723282503,0.476803246117841,0.640156966808944
80.25,3.57,4.49398412516503,5.19657166775099,0.374433823263651,0.549911330152281
80.75,3.15,4.48875752268326,5.19051559340441,0.281231571168342,0.464835826086873
81.25,3.36,4.48421761151332,5.18458099012314,0.210267671422816,0.398682806230779
81.75,2.94,4.4801932928188,5.17876178854099,0.159262391038378,0.352317923039915
82.25,3.15,4.47662544144759,5.17308628228363,0.113812400212617,0.311558310306898
82.75,2.73,4.47359277386248,5.16764503544648,0.0598776394310013,0.267888419925161
83.25,2.94,4.4712652139505,5.16257204655332,-0.0113994252418602,0.225325975635109
83.75,2.52,4.46973655526279,5.15793176131908,-0.0948402298943105,0.188584147234153
84.25,2.73,4.46885882490301,5.15372065314415,-0.168011119859329,0.161797620795963
84.75,2.31,4.46827499684934,5.14987324229752,-0.207801496547523,0.145844039290986
85.25,2.52,4.46769604886022,5.14634524706889,-0.203838116216707,0.139515079661124
85.75,2.1,4.46722179553043,5.14314984411041,-0.172666006998911,0.138099280811379
86.25,2.31,4.46718043198118,5.14025565853787,-0.156710771363773,0.128833967280151
86.75,1.89,4.46772051091584,5.13753317291255,-0.182953701270645,0.102270046160993
87.25,2.1,4.46856140475062,5.13483808528446,-0.24109788750794,0.0576697904636037
87.75,1.68,4.46927490572095,5.13217027004821,-0.306050017368765,0.00490342068377455
88.25,1.89,4.46968414884804,5.12968568574856,-0.3543047129308,-0.0350199976362312
88.75,1.47,4.47004756019055,5.12760309448024,-0.380536279035764,-0.0509481426735087
89.25,1.68,4.47078067009846,5.12604009612705,-0.391616074829073,-0.0453156128044724
89.75,1.26,4.47181560145199,5.1249480039928,-0.38945364665246,-0.0318786421321981
90.25,1.47,4.47231127355637,5.1242123696799,-0.397758081602152,-0.0309042723229187
90.75,1.05,4.47091697390101,5.12344021289445,-0.443652607087886,-0.0414070058939593
91.25,1.26,4.46640802797065,5.1221655793763,-0.534059403331215,-0.0482408608141914
91.75,1.68,4.45858724646223,5.12004173471074,-0.620082376560374,-0.0344795473954241
92.25,2.1,4.4486067001239,5.11713886649173,-0.615139268643995,0.00735482263321121
92.75,1.89,4.43876101945268,5.11402521695828,-0.498205653867768,0.0596404142663092
93.25,2.31,4.43086488901265,5.11139230904858,-0.327614507017396,0.0997720684386507
93.75,2.1,4.42530374177874,5.10953982299008,-0.174976480190074,0.118586951505724
94.25,2.52,4.42145309324103,5.10836054430819,-0.0703069390170564,0.125039223976313
94.75,2.31,4.41860282509821,5.10759532653738,-0.0126431493908953,0.132322248331853
95.25,2.73,4.41646088924493,5.10706852601641,0.0229296751466989,0.149972919152339
95.75,2.52,4.4150661314743,5.10679097374261,0.0657024172518548,0.17831819863308
96.25,2.94,4.41469018181913,5.10697391036361,0.129926222996594,0.215255599651646
96.75,2.73,4.41553015475507,5.10785948841614,0.207894515035448,0.25988717364869
97.25,3.15,4.41752718331982,5.10949066330264,0.279603043288123,0.306883339939153
97.75,2.94,4.420400679907,5.11171213107055,0.330311385486189,0.351310260336714
98.25,3.36,4.42380346450797,5.11431117960412,0.359641952710768,0.391561166054329
98.75,3.15,4.42746936168962,5.11717765727938,0.376729596829493,0.425447939430683
99.25,3.57,4.43133962409298,5.1204095316242,0.390358134421784,0.454184223989024
99.75,3.36,4.43549369090888,5.12417017100751,0.403046833655435,0.482261386002181
100.25,3.78,4.44014034816018,5.12854642001477,0.421898596283018,0.515868521786119
100.75,3.57,4.44546115576146,5.13348184361233,0.461723213783885,0.559072144678662
101.25,3.99,4.45135762292291,5.1388188666704,0.524445319879755,0.609069293346298
101.75,3.78,4.45743713309324,5.14433235809808,0.596601547862735,0.662808828761051
102.25,4.2,4.46332976187799,5.14976937161874,0.658209791875073,0.715964380023791
102.75,3.99,4.46902399543806,5.15496423875332,0.693721981531548,0.766473159907435
103.25,4.41,4.47505660695634,5.15996393638564,0.713732818917893,0.815052927653068
103.75,4.2,4.48217291850076,5.16500014734432,0.743050924840499,0.857413157105008
104.25,4.62,4.49066043506936,5.17040039338469,0.791099981480513,0.89575994021403
104.75,4.41,4.50022676846513,5.17645227083085,0.849882498717482,0.937277147022126
105.25,4.83,4.51038051324353,5.18339547763221,0.911729081918161,0.98605066878885
105.75,4.62,4.52076839186146,5.19141812756742,0.959490243831524,1.03339074659447
106.25,5.04,4.53192206309372,5.20086155132085,1.00513193984055,1.08402829507554
106.75,4.83,4.5449800989612,5.21201126758843,1.07565230763344,1.15648195749883
107.25,5.25,4.56057606178224,5.22472415114841,1.18238213369389,1.25744404660611
107.75,5.04,4.57819524742902,5.23840472398127,1.30772746532886,1.3833519407259
108.25,5.46,4.59657525148376,5.25235940682345,1.40802755526127,1.51840650471367
108.75,5.25,4.61501581847194,5.26637979669987,1.44426308797268,1.63665910382331
109.25,5.67,4.63401081237629,5.28102251753114,1.42566370484427,1.72903694495782
109.75,5.46,4.6542747293422,5.29701853393342,1.42807600178835,1.81288274819693
110.25,5.88,4.67523098830366,5.31469924347781,1.49311890254725,1.91263377049252
110.75,5.67,4.6954136408062,5.33389071274141,1.62274374570278,2.04573428754512
111.25,6.09,4.71404452687173,5.3543234845642,1.79231890133662,2.21003069996073
111.75,5.88,4.73155213159828,5.37583386200281,1.93029966785378,2.37200500829886
112.25,6.3,4.74895172326674,5.39819906422116,1.99130013208798,2.50644814368747
112.75,6.09,4.76674605207368,5.42089112861559,2.00315742737571,2.61666079922696
113.25,6.51,4.78481386838683,5.44353229421858,2.01534291976236,2.71291559958963
113.75,6.3,4.80314373100573,5.46633370483388,2.05122614774006,2.79130983706856
114.25,6.72,4.82255953666243,5.49029838916518,2.13240608883372,2.87193812200941
114.75,6.51,4.84412759102642,5.51654795615821,2.2579580767844,2.98751873441547
115.25,6.93,4.86830306492537,5.54560495511622,2.40731612953267,3.15502635388566
115.75,6.72,4.8947061880047,5.5773132980835,2.55137125085934,3.35761107714893
116.25,7.14,4.92266580752664,5.61140217806767,2.67004911667324,3.56446963366272
116.75,6.93,4.95155108462068,5.64778692803679,2.77220739461609,3.7540572203401
117.25,7.35,4.98058534714808,5.68614803715386,2.86909150097391,3.91289907224732
