"TIME","POSITION","R1","R2","CCR"
0.392,-0.105,118.164,163.713,3755
0.393,-0.105,118.163,163.713,3755
0.394,-0.105,118.163,163.713,3755
0.395,-0.105,118.163,163.713,3755
0.396,-0.105,118.162,163.713,3755
0.397,-0.105,118.162,163.713,3755
0.398,-0.105,118.162,163.713,3755
0.399,-0.105,118.162,163.713,3755
0.4,-0.105,118.162,163.713,3755
0.401,-0.105,118.162,163.712,3755
0.402,-0.105,118.162,163.712,3755
0.403,-0.105,118.163,163.711,3755
0.404,-0.105,118.163,163.711,3755
0.405,-0.105,118.163,163.71,3755
0.406,-0.105,118.163,163.71,3755
0.407,-0.105,118.164,163.709,3755
0.408,-0.105,118.164,163.709,3755
0.409,-0.105,118.164,163.709,3755
0.41,-0.105,118.164,163.709,3755
0.411,-0.105,118.163,163.709,3755
0.412,-0.105,118.163,163.71,3755
0.413,-0.105,118.162,163.71,3755
0.414,-0.105,118.162,163.711,3755
0.415,-0.105,118.162,163.711,3755
0.416,-0.105,118.161,163.712,3755
0.417,-0.105,118.161,163.712,3755
0.418,-0.105,118.16,163.713,3755
0.419,-0.105,118.16,163.713,3755
0.42,-0.105,118.16,163.714,3755
0.421,-0.105,118.16,163.715,3755
0.422,-0.105,118.16,163.716,3755
0.423,-0.105,118.16,163.717,3755
0.424,-0.105,118.16,163.718,3755
0.425,-0.105,118.16,163.719,3755
0.426,-0.105,118.159,163.72,3755
0.427,-0.105,118.159,163.721,3755
0.428,-0.105,118.159,163.722,3755
0.429,-0.105,118.159,163.723,3755
0.43,-0.105,118.159,163.723,3755
0.431,-0.105,118.159,163.723,3755
0.432,-0.105,118.158,163.723,3755
0.433,-0.105,118.158,163.723,3755
0.434,-0.105,118.157,163.723,3755
0.435,-0.105,118.157,163.723,3755
0.436,-0.105,118.157,163.724,3755
0.437,-0.105,118.156,163.724,3755
0.438,-0.105,118.156,163.724,3755
0.439,-0.105,118.155,163.724,3755
0.44,-0.105,118.155,163.723,3755
0.441,-0.105,118.156,163.723,3755
0.442,-0.105,118.156,163.723,3755
0.443,-0.105,118.156,163.722,3755
0.444,-0.105,118.156,163.722,3755
0.445,-0.105,118.156,163.722,3755
0.446,-0.105,118.156,163.721,3755
0.447,-0.105,118.157,163.721,3755
0.448,-0.105,118.157,163.72,3755
0.449,-0.105,118.157,163.72,3755
0.45,-0.105,118.156,163.719,3755
0.451,-0.105,118.156,163.719,3755
0.452,-0.105,118.155,163.718,3755
0.453,-0.105,118.154,163.717,3755
0.454,-0.105,118.154,163.716,3755
0.455,-0.105,118.153,163.716,3755
0.456,-0.105,118.152,163.715,3755
0.457,-0.105,118.151,163.714,3755
0.458,-0.105,118.151,163.713,3755
0.459,-0.105,118.15,163.713,3755
0.46,-0.105,118.15,163.712,3755
0.461,-0.105,118.15,163.711,3755
0.462,-0.105,118.15,163.71,3755
0.463,-0.105,118.15,163.71,3755
0.464,-0.105,118.15,163.709,3755
0.465,-0.105,118.149,163.708,3755
0.466,-0.105,118.149,163.707,3755
0.467,-0.105,118.149,163.707,3755
0.468,-0.105,118.149,163.706,3755
0.469,-0.105,118.149,163.705,3755
0.47,-0.105,118.149,163.706,3755
0.471,-0.105,118.149,163.706,3755
0.472,-0.105,118.148,163.706,3755
0.473,-0.105,118.148,163.706,3755
0.474,-0.105,118.148,163.707,3755
0.475,-0.105,118.148,163.707,3755
0.476,-0.105,118.148,163.707,3755
0.477,-0.105,118.148,163.708,3755
0.478,-0.105,118.148,163.708,3755
0.479,-0.105,118.148,163.708,3755
0.48,-0.105,118.147,163.708,3755
0.481,-0.105,118.147,163.708,3755
0.482,-0.105,118.146,163.707,3755
0.483,-0.105,118.146,163.707,3755
0.484,-0.105,118.145,163.707,3755
0.485,-0.105,118.145,163.707,3755
0.486,-0.105,118.144,163.707,3755
0.487,-0.105,118.144,163.706,3755
0.488,-0.105,118.143,163.706,3755
0.489,-0.105,118.143,163.706,3755
0.49,-0.105,118.143,163.707,3755
0.491,-0.105,118.143,163.709,3755
0.492,-0.105,118.143,163.711,3755
0.493,-0.105,118.143,163.712,3755
0.494,-0.105,118.143,163.714,3755
0.495,-0.105,118.143,163.715,3755
0.496,-0.105,118.143,163.717,3755
0.497,-0.105,118.143,163.718,3755
0.498,-0.105,118.143,163.72,3755
0.499,-0.105,118.143,163.721,3755
