TIME,POSITION,rho1,rho2,h,RMS_BASE,RMS_DIFF
106.75,-5.67,7.224319542977197,7.569619316176966,5.287892293621943,0.09499843485906682,0.09499843488294493
107.25,-6.09,7.237235800572696,7.6013018403561174,5.41349206751982,0.0950821736824509,0.09508217370003721
107.75,-5.88,7.253255358848625,7.638765327938547,5.573958819912045,0.09515992843092037,0.09515992842475231
108.25,-6.3,7.275369703833221,7.698145402377539,5.834417788018452,0.09531959073330495,0.09531959078052307
108.75,-6.09,7.297856070715758,7.757762097067316,6.0948261094940905,0.09548345946894421,0.09548345949486631
109.25,-6.51,7.324636477762946,7.840377666928449,6.441523281518371,0.09578532470192415,0.09578532468724243
109.75,-6.3,7.350368171202145,7.921358377332284,6.774086595003764,0.09608808893706972,0.09608808897056906
110.25,-6.72,7.379326311988848,8.029955520047698,7.191744954385669,0.09657220119146595,0.09657220120776339
110.75,-6.51,7.405765133626562,8.1319270310021,7.573700875359244,0.09700309088634979,0.09700309092989996
111.25,-6.93,7.434263915265836,8.26598328681668,8.035538986660237,0.09761581405312367,0.09761581404505902
111.75,-6.72,7.45814150975624,8.38097329907537,8.418808522803554,0.09806150408693548,0.09806150412431472
112.25,-7.14,7.481338485820105,8.513303335155493,8.825763699034031,0.09856154187583441,0.09856154187193084
112.75,-6.93,7.499617497152975,8.629619877078051,9.153902174486639,0.09891377942203004,0.09891377940004907
113.25,-7.35,7.5163035533008085,8.735516944377718,9.45373095709236,0.09917606782027928,0.09917606784619326
113.75,-7.14,7.5260717884580135,8.79156476444547,9.600753077309331,0.0991590970203803,0.09915909703430273
114.25,-7.56,7.532583998669349,8.815758130899725,9.670582518195781,0.09899272634423173,0.0989927263240407
114.75,-7.35,7.533394374843781,8.798142263551634,9.616667817453235,0.09863523954305631,0.09863523953655716
115.25,-7.77,7.5316704872559095,8.760244950597102,9.51429944517632,0.09820771234526995,0.09820771233878842
115.75,-7.56,7.525664799266549,8.703182312729062,9.34180145967226,0.09770884844828365,0.09770884847244962
116.25,-7.98,7.517615868668594,8.635245496377067,9.142988493288897,0.09718818989632623,0.09718818990678839
116.75,-7.77,7.509267090337415,8.587786109070237,8.984229021158681,0.096813126189638,0.09681312620385923
117.25,-7.35,7.501412027251364,8.540577437055784,8.846624390776526,0.09648462451998768,0.09648462451724324
117.75,-6.93,7.4937003075518565,8.506034949908761,8.740216352091192,0.09626137041779499,0.09626137038799161
118.25,-7.14,7.4871641539002365,8.470616008851993,8.655552184867203,0.09606765637106637,0.09606765635967943
118.75,-6.72,7.481081472325664,8.444533339485659,8.595518641588725,0.09594933649490525,0.09594933649165169
119.25,-6.93,7.475003307899938,8.404679691480297,8.517531729393387,0.09576699477548989,0.09576699475478567
119.75,-6.51,7.467682395504284,8.357038545436177,8.412634464839341,0.09553999034322706,0.09553999038579125
120.25,-6.72,7.4595208413362375,8.29483235771458,8.273260807880375,0.09522156936924056,0.09522156938218762
120.75,-6.3,7.450394263442751,8.236386700627284,8.126082447689676,0.0949150995291296,0.09491509955372777
121.25,-6.51,7.440159263072822,8.165831523175003,7.9426083996024035,0.09451870536646519,0.09451870534000775
121.75,-6.09,7.42952986464163,8.105588401148717,7.769437531275447,0.09417542631449013,0.09417542633350862
122.25,-6.3,7.419193669517773,8.044888577897261,7.595524302617921,0.09381757252496797,0.09381757257299823
122.75,-5.88,7.408093768753389,7.987588458239093,7.415992359020879,0.09346914265367189,0.09346914262701721
123.25,-6.09,7.397074450860581,7.933858127631624,7.241492949548302,0.09313705295904015,0.09313705296060965
123.75,-5.67,7.38509616172005,7.8795462435843335,7.052458486492493,0.0927928104388058,0.09279281045612614
124.25,-5.88,7.371342232839692,7.8189160586086865,6.827446605462803,0.09239747222635125,0.09239747222306927
124.75,-5.46,7.354955425131276,7.753924573025365,6.560896255574415,0.09197362460109819,0.09197362463410327
125.25,-5.67,7.334864524955825,7.681447880111731,6.233568831256059,0.09151820033773665,0.09151820030426194
125.75,-5.25,7.311034901282297,7.605829123966935,5.854678686253153,0.09109812424873326,0.0910981242186331
126.25,-5.46,7.282412490704426,7.525007334816801,5.407104057811255,0.09076178964268614,0.09076178964647018
126.75,-5.04,7.248717356150667,7.444304074058465,4.902762260399951,0.09063809066693129,0.09063809065166449
127.25,-5.25,7.209850764064762,7.364840830983656,4.346302169896364,0.09084823463305831,0.09084823464684944
127.75,-4.83,7.163355624550231,7.284840751055778,3.732001468492798,0.0915888040350969,0.09158880403145335
128.25,-5.04,7.122962601847992,7.218134435367392,3.0272190692519683,0.09252696989945212,0.09252696989003555
128.75,-4.62,7.01844725457213,7.096214582167526,2.160297524782339,0.0968511729007522,0.09685117285544022
129.25,-4.83,7.027445365733453,7.162595842073464,0.6391203141572065,0.09235065132190604,0.09235065129664745
129.75,-4.41,1.4248717935821595,7.162341371683424,8.963323842726184E-4,0.09194549682362461,0.12273102748924251
130.25,-4.62,1.4846574788363571,7.159408747682972,9.223028168917237E-4,0.09191109922911513,0.15861707698918595
130.75,-4.2,1.3312209737295033,7.1565840291875,6.906650500862265E-4,0.09187203457521562,0.19894254267557115
131.25,-4.41,1.3155481091320813,7.153886554589162,6.359380365899368E-4,0.0918267329441156,0.23647028049716246
131.75,-3.99,2.291181295335262,7.151338913183654,0.0019579258849200774,0.09177362496236538,0.2786420030481174
132.25,-4.2,1.7532889567321885,7.148940182325726,0.0010446356816033436,0.09171043946518599,0.3130554565510579
132.75,-3.78,1.931427242827449,7.1467178038663794,0.0012342599536861176,0.0916358406457971,0.34640178011903233
133.25,-3.99,2.7314418448586038,7.144683436884507,0.0026124195718580817,0.0915482031799085,0.36764067387484345
133.75,-3.57,1.392124579774085,7.142823883050528,5.895054266159888E-4,0.0914459133784048,0.3880257840490839
134.25,-3.78,1.3502635685804105,7.141168121077157,5.496841889565364E-4,0.09132859496938217,0.39538797964496725
134.75,-3.36,2.112323533452379,7.139716673766749,0.0013981334613325349,0.09119553741210842,0.41190198067008776
135.25,-3.57,1.4870035542487061,7.138448785661176,6.486797205424476E-4,0.09104674181357386,0.4262956108960289
135.75,-3.15,3.22078715914211,7.13738510247888,0.0035264627515354703,0.09088298434344518,0.45854263668688
136.25,-3.36,1.8990078766580525,7.136490402638324,0.001016595035508001,0.09070407931078583,0.4875589956689339
136.75,-2.94,1.5818911122034858,7.135785047347165,6.4441320760437E-4,0.09051138463252782,0.5523178238943705
137.25,-3.15,2.3011286343009916,7.135254375489181,0.0013268743528184578,0.09030592502428687,0.6372799791490353
137.75,-2.73,2.592844583818997,7.134884208011334,0.0015243287303914152,0.09008840164921939,0.7864113813799484
138.25,-2.94,3.8253827073686333,7.1346761120509115,0.0033609378017088122,0.08985903225625155,1.022876500744356
138.75,-2.52,4.507323328420503,7.134625900754797,0.0037232201590265595,0.08961697608346329,1.733225792663026
159.75,-2.31,3.0218182134625167,7.132269529934872,0.002026820610656608,0.08402341521866981,1.8307957011222817
160.25,-2.73,3.0121772655774675,7.131706711150566,0.0030012477317312393,0.08428826462208465,1.0849448734589544
160.75,-2.52,1.6617046620263576,7.131277062190281,9.800419384096335E-4,0.08454154332009177,0.8011599420487168
161.25,-2.94,1.0346432428019707,7.1309880454450925,4.2123352719214484E-4,0.08478355422144436,0.6469897248015206
161.75,-2.73,1.0256926711426195,7.130838245967363,4.567624043784022E-4,0.08501394449217353,0.5466340591778441
162.25,-3.15,0.9572355360551514,7.130828142197397,4.29087613110996E-4,0.08523255719695864,0.4713821506283484
162.75,-2.94,0.8836540611531154,7.130951117959,3.8959191827929755E-4,0.08543994091121933,0.40927554633177404
163.25,-3.36,0.7414279603439042,7.1312100884716045,2.8870234953156857E-4,0.08563643253632994,0.35705038855714116
163.75,-3.15,1.1615775394454515,7.131618496043614,7.572445450396473E-4,0.08582245743653943,0.3093828157283933
164.25,-3.57,1.7262340765895376,7.132176838387559,0.0018106324494907328,0.08599849284068124,0.266055191556478
164.75,-3.36,1.0683630762743612,7.132860807657336,6.953005323373109E-4,0.08616425348995851,0.22867144698316738
165.25,-3.78,0.891387084950608,7.13368896142505,4.99423781489554E-4,0.08632095007615796,0.19342203353523746
165.75,-3.57,0.8468668253360851,7.134656023791119,4.6588953075737597E-4,0.08646909415055457,0.16085453028698177
166.25,-3.99,0.8280759642125185,7.135759168333618,4.605305244599984E-4,0.08660861427489128,0.13044795523858163
166.75,-3.78,2.390632877926751,7.137035475217438,0.0043918928028732936,0.08674035858448993,0.10286964450621787
167.25,-4.2,6.987521033062008,7.126331696328203,1.108850212887787,0.08809582148506205,0.08809582144166972
167.75,-3.99,6.956222293726931,7.072986480036188,2.1058191836478484,0.09216138977525358,0.09216138978597105
168.25,-4.41,7.040985601157626,7.172718677977404,2.7666421879437726,0.08873831119157861,0.08873831118271312
168.75,-4.2,7.1798155016122776,7.3329450595698695,3.2625434163498754,0.08570746378172983,0.0857074637512509
169.25,-4.62,7.1025626059856934,7.276383704313015,3.6865889317596627,0.08745553869114372,0.08745553865378851
169.75,-4.41,7.129494150930542,7.326103193590605,4.036879293067379,0.08711416740438922,0.08711416738997374
170.25,-4.83,7.149722676589761,7.369989308740654,4.3235257987885305,0.08700159080316165,0.08700159083153437
170.75,-4.62,7.167312874644583,7.410111861482825,4.570272791654395,0.0869873519873787,0.08698735200205546
171.25,-5.04,7.1802784451877795,7.444992442814828,4.757375405984527,0.08705568987000671,0.08705568983383427
171.75,-4.83,7.190952029025958,7.474267002691204,4.90070382547071,0.08714570144516362,0.08714570143075707
172.25,-5.25,7.196750920911887,7.4938301714105044,4.9691614515894145,0.08724968631223262,0.08724968636883294
172.75,-5.04,7.201212975488138,7.506731998503231,5.000368918232887,0.08733339887605969,0.08733339887578025
173.25,-5.46,7.206014415103808,7.52246010355681,5.0386241799311415,0.08743272194774696,0.08743272193589587
173.75,-5.25,7.209900512406168,7.532818421878104,5.0481733379361495,0.08751236587125268,0.08751236589040791
174.25,-5.67,7.216648563851882,7.551054964800864,5.099725149369473,0.08760951466178478,0.0876095146597063
174.75,-5.46,7.225296446013662,7.571238805432585,5.167195094235271,0.08769941404201814,0.08769941405527207
175.25,-5.88,7.237614065467255,7.602620580866393,5.292258529208379,0.08782279839496034,0.08782279840747997
175.75,-5.67,7.250949917154991,7.634658172276377,5.4232476703016745,0.08794131834070837,0.08794131836862724
176.25,-6.09,7.269091510132212,7.684191459793889,5.63744424805428,0.08813548329356106,0.08813548331042013
176.75,-5.88,7.287455983869162,7.732966338250851,5.847909379991044,0.08832616411961655,0.08832616407637639
177.25,-6.3,7.309165372406882,7.798787151160785,6.126656182591325,0.08861679450113367,0.08861679451633507
177.75,-6.09,7.330093524055184,7.862253718740696,6.390774865653697,0.08889407955566152,0.08889407958191832
178.25,-6.51,7.352908021949393,7.946005018892563,6.715466986081277,0.08930231512415183,0.0893023151532796
178.75,-6.3,7.3728355740085725,8.021235375451926,6.992926092398331,0.08964096448234532,0.08964096450839149
179.25,-6.72,7.3945527778323275,8.116745971531701,7.326740497941695,0.09009247693630726,0.09009247697033261
179.75,-6.51,7.413421190172048,8.206478641848177,7.618623422417869,0.0904722837852386,0.09047228374458517
180.25,-6.93,7.433149074442992,8.320123955273454,7.959030937666678,0.09096313397521745,0.09096313398682006
180.75,-6.72,7.447603755583613,8.399859064509153,8.181554717990595,0.09119161529177175,0.09119161527738003
181.25,-7.14,7.461522772402578,8.48773805873372,8.410374910261513,0.09143176874728332,0.09143176877480465
181.75,-6.93,7.471413154993632,8.551306381279751,8.555293810903436,0.09149906668420858,0.09149906667256893
182.25,-7.35,7.481264535235898,8.60469033204348,8.688149171450439,0.09149602514119187,0.09149602513307042
182.75,-7.14,7.487520477386029,8.629966038304167,8.741660482373812,0.09133301753440386,0.09133301750818044
183.25,-7.56,7.493107861186077,8.633701328014617,8.765000172733066,0.09106801478481776,0.0910680148085966
183.75,-7.35,7.495779226148421,8.614775171623291,8.730154214911781,0.09069941797973524,0.09069941799795196
184.25,-7.77,7.496689507443753,8.570640975762968,8.649376488736701,0.09022339186064603,0.09022339186688537
184.75,-7.56,7.4946911500320645,8.514946705294912,8.528126690161738,0.08971193908209767,0.08971193906282439
185.25,-7.98,7.491432301235411,8.449998971155827,8.390449195886458,0.08918351000691141,0.08918351004107569
185.75,-7.77,7.486245670055654,8.3877383173347,8.245612189795144,0.08870408317853398,0.08870408315703943
186.25,-7.35,7.480061307524628,8.320513941175758,8.091164411307851,0.08822903173563167,0.08822903174754479
186.75,-6.93,7.472841306013149,8.26354394744961,7.950157873215877,0.08784673039769655,0.08784673038733769
187.25,-7.14,7.464864128331428,8.199807115685902,7.793736690245691,0.08744463484332891,0.08744463479232005
187.75,-6.72,7.456774926950402,8.14520637972194,7.655319662795584,0.0871189942725621,0.0871189942348426
188.25,-6.93,7.448626470358905,8.088505242917915,7.512351484717687,0.08678826463297874,0.08678826463281686
188.75,-6.51,7.440511546972724,8.041928502327703,7.3882649929821635,0.08653136351906955,0.08653136350458089
189.25,-6.72,7.430771358552436,7.986922742124568,7.225394483522871,0.08621008694176531,0.08621008696267414
189.75,-6.3,7.421127956788872,7.941881731236859,7.081304968322193,0.0859576092007164,0.08595760923973007
190.25,-6.51,7.410896215695232,7.895732877541598,6.92478576515241,0.08569243444831769,0.08569243446552016
190.75,-6.09,7.401522356266577,7.862491061153299,6.80424698233215,0.08552165234054335,0.08552165237987035
191.25,-6.3,7.391852278570804,7.826778563093769,6.67173263383576,0.08532734254126072,0.08532734256015057
191.75,-5.88,7.3823606707946325,7.7960412034959665,6.550364338927228,0.08516717654688677,0.08516717654637575
192.25,-6.09,7.3735653438674875,7.768397536000435,6.441897566902866,0.08502756340966601,0.08502756342640956
192.75,-5.67,7.365124437100933,7.743252633559352,6.341668236671746,0.0849041501541915,0.08490415016262717
193.25,-5.88,7.3570939930831685,7.717064572581078,6.240935176459588,0.0847693019266555,0.0847693018989182
193.75,-5.46,7.34859342901155,7.688658151645931,6.127317552014811,0.08461638671217664,0.08461638671797539
194.25,-5.67,7.339974982050059,7.658478881702094,6.004987581113161,0.084448617126742,0.08444861716851812
194.75,-5.25,7.328652747493749,7.619874382021932,5.82861529831351,0.08422950900254286,0.08422950901479845
195.25,-5.46,7.315134293616487,7.575735122404864,5.609631448806391,0.08399108558559612,0.08399108560303777
195.75,-5.04,7.297958510649995,7.525677089923664,5.3311336994871015,0.08376153708554183,0.0837615370573831
196.25,-5.25,7.276074097983786,7.46975959871096,4.981472204960391,0.0835924919973781,0.08359249201671115
196.75,-4.83,7.248336836369276,7.408541526549868,4.550785675155743,0.08357362627466755,0.08357362624534612
197.25,-5.04,7.2152357564843435,7.345948898002295,4.061689053479195,0.0838226259633687,0.08382262596735791
197.75,-4.62,7.167224217244783,7.271604041433444,3.470080112309691,0.08471719746996967,0.08471719746641597
198.25,-4.83,7.128906519132103,7.21320095244145,2.7817526229670886,0.085676554946195,0.08567655497087527
198.75,-4.41,7.022722967273575,7.095925985155649,1.922509209767096,0.09028052475768983,0.09028052472435376
199.25,-4.62,6.774538604606603,7.193219822606042,0.17487441413776236,0.08440954436283127,0.08440954439302958
199.75,-4.2,1.409365552012876,7.189851089020074,8.567592206983036E-4,0.08431906316537202,0.11289078096814235
200.25,-4.41,1.603726237249242,7.187269340122079,0.0010911184329924746,0.08426439200602197,0.1393537754981778
200.75,-3.99,1.5726476486228407,7.184821719500316,0.0010182062809486244,0.08420328659044887,0.16649843896717112
201.25,-4.2,1.789843834262665,7.182510468633817,0.0013019844708163804,0.08413532916026471,0.1910584155357249
201.75,-3.78,1.8113787723934096,7.180328195755235,0.0012898179139121887,0.08405967705172152,0.2201955185812332
202.25,-3.99,2.158958504097158,7.178280408146398,0.0018211848956990822,0.0839751733270938,0.24554623063282444
202.75,-3.57,1.464181645261219,7.176355862082423,7.59273088129915E-4,0.08388028346540503,0.2790430556283596
203.25,-3.78,1.9659108383924733,7.17456683592216,0.0013532027398550969,0.0837744291924751,0.3113229019171527
203.75,-3.36,1.6579784909450708,7.17290868775284,8.864449869592709E-4,0.08365567856934207,0.3555322565401584
204.25,-3.57,1.681444097621058,7.171393971765923,8.576575701932676E-4,0.08352309256544871,0.40375800760190356
204.75,-3.15,1.9079230272816994,7.17003256965186,0.0010399678563350182,0.08337570585223614,0.4695761261568162
205.25,-3.36,1.7704335608697148,7.168829071592905,8.100888016092532E-4,0.08321304014121386,0.5520474540915037
205.75,-2.94,1.5989831921411248,7.167793243778865,5.737858606288493E-4,0.08303475740155317,0.6895692077699177
206.25,-3.15,3.0983042989982783,7.166928681713627,0.002083761286141131,0.08284149680244532,0.9200120014214884
206.75,-2.73,3.1085494126220494,7.166223004536026,0.0014562942402327988,0.08263375571714283,1.53017228629882
217.75,-0.42,7.622981886963126,6.6076482339762,18.010278635903777,0.08088110932527962,4.407929343730107
218.25,-0.63,7.635505908788458,5.931242864937738,18.010278635903273,0.07916673540604789,2.434069142760526
218.75,-0.21,7.63828837876622,5.7580325254091385,18.010278635903582,0.07840880523607709,2.2378866177408727
