TIME,POSITION
1.236,-0.105
1.237,-0.105
1.238,-0.105
1.239,-0.105
1.24,-0.105
1.241,-0.105
1.242,-0.105
1.243,-0.105
1.244,-0.105
1.245,-0.105
1.246,-0.105
1.247,-0.105
1.248,-0.105
1.249,-0.105
1.25,-0.105
1.251,-0.105
1.252,-0.105
1.253,-0.105
1.254,-0.105
1.255,-0.105
1.256,-0.105
1.257,-0.105
1.258,-0.105
1.259,-0.105
1.26,-0.105
1.261,-0.105
1.262,-0.105
1.263,-0.105
1.264,-0.105
1.265,-0.105
1.266,-0.105
1.267,-0.105
1.268,-0.105
1.269,-0.105
1.27,-0.105
1.271,-0.105
1.272,-0.105
1.273,-0.105
1.274,-0.105
1.275,-0.105
1.276,-0.105
1.277,-0.105
1.278,-0.105
1.279,-0.105
1.28,-0.105
1.281,-0.105
1.282,-0.105
1.283,-0.105
1.284,-0.105
1.285,-0.105
1.286,-0.105
1.287,-0.105
1.288,-0.105
1.289,-0.105
1.29,-0.105
1.291,-0.105
1.292,-0.105
1.293,-0.105
1.294,-0.105
1.295,-0.105
1.296,-0.105
1.297,-0.105
1.298,-0.105
1.299,-0.105
1.3,-0.105
1.301,-0.105
1.302,-0.105
1.303,-0.105
1.304,-0.105
1.305,-0.105
1.306,-0.105
1.307,-0.105
1.308,-0.105
1.309,-0.105
1.31,-0.105
1.311,-0.105
1.312,-0.105
1.313,-0.105
1.314,-0.105
1.315,-0.105
1.316,-0.105
1.317,-0.105
1.318,-0.105
1.319,-0.105
1.32,-0.105
1.321,-0.105
1.322,-0.105
1.323,-0.105
1.324,-0.105
1.325,-0.105
1.326,-0.105
1.327,-0.105
1.328,-0.105
1.329,-0.105
1.33,-0.105
1.331,-0.105
1.332,-0.105
1.333,-0.105
1.334,-0.105
1.335,-0.105
1.336,-0.105
1.337,-0.105
1.338,-0.105
1.339,-0.105
1.34,-0.105
1.341,-0.105
1.342,-0.105
1.343,-0.105
1.344,-0.105
1.345,-0.105
1.346,-0.105
1.347,-0.105
1.348,-0.105
1.349,-0.105
1.35,-0.105
1.351,-0.105
1.352,-0.105
1.353,-0.105
1.354,-0.105
1.355,-0.105
1.356,-0.105
1.357,-0.105
1.358,-0.105
1.359,-0.105
1.36,-0.105
1.361,-0.105
1.362,-0.105
1.363,-0.105
1.364,-0.105
1.365,-0.105
1.366,-0.105
1.367,-0.105
1.368,-0.105
1.369,-0.105
1.37,-0.105
1.371,-0.105
1.372,-0.105
1.373,-0.105
1.374,-0.105
1.375,-0.105
1.376,-0.105
1.377,-0.105
1.378,-0.105
1.379,-0.105
1.38,-0.105
1.381,-0.105
1.382,-0.105
1.383,-0.105
1.384,-0.105
1.385,-0.105
1.386,-0.105
1.387,-0.105
1.388,-0.105
1.389,-0.105
1.39,-0.105
1.391,-0.105
1.392,-0.105
1.393,-0.105
1.394,-0.105
1.395,-0.105
1.396,-0.105
1.397,-0.105
1.398,-0.105
1.399,-0.105
1.4,-0.105
1.401,-0.105
1.402,-0.105
1.403,-0.105
1.404,-0.105
1.405,-0.105
1.406,-0.105
1.407,-0.105
1.408,-0.105
1.409,-0.105
1.41,-0.105
1.411,-0.105
1.412,-0.105
1.413,-0.105
1.414,-0.105
1.415,-0.105
1.416,-0.105
1.417,-0.105
1.418,-0.105
1.419,-0.105
1.42,-0.105
1.421,-0.105
1.422,-0.105
1.423,-0.105
1.424,-0.105
1.425,-0.105
1.426,-0.105
1.427,-0.105
1.428,-0.105
1.429,-0.105
1.43,-0.105
1.431,-0.105
1.432,-0.105
1.433,-0.105
1.434,-0.105
1.435,-0.105
1.436,-0.105
1.437,-0.105
1.438,-0.105
1.439,-0.105
1.44,-0.105
1.441,-0.105
1.442,-0.105
1.443,-0.105
1.444,-0.105
1.445,-0.105
1.446,-0.105
1.447,-0.105
1.448,-0.105
1.449,-0.105
1.45,-0.105
1.451,-0.105
1.452,-0.105
1.453,-0.105
1.454,-0.105
1.455,-0.105
1.456,-0.105
1.457,-0.105
1.458,-0.105
1.459,-0.105
1.46,-0.105
1.461,-0.105
1.462,-0.105
1.463,-0.105
1.464,-0.105
1.465,-0.105
1.466,-0.105
1.467,-0.105
1.468,-0.105
1.469,-0.105
1.47,-0.105
1.471,-0.105
1.472,-0.105
1.473,-0.105
1.474,-0.105
1.475,-0.105
1.476,-0.105
1.477,-0.105
1.478,-0.105
1.479,-0.105
1.48,-0.105
1.481,-0.105
1.482,-0.105
1.483,-0.105
1.484,-0.105
1.485,-0.105
1.486,-0.105
1.487,-0.105
1.488,-0.105
1.489,-0.105
1.49,-0.105
1.491,-0.105
1.492,-0.105
1.493,-0.105
1.494,-0.105
1.495,-0.105
1.496,-0.105
1.497,-0.105
1.498,-0.105
1.499,-0.105
1.5,0.0
1.501,0.0
1.502,0.0
1.503,0.0
1.504,0.0
1.505,0.0
1.506,0.0
1.507,0.0
1.508,0.0
1.509,0.0
1.51,0.0
1.511,0.0
1.512,0.0
1.513,0.0
1.514,0.0
1.515,0.0
1.516,0.0
1.517,0.0
1.518,0.0
1.519,0.0
1.52,0.0
1.521,0.0
1.522,0.0
1.523,0.0
1.524,0.0
1.525,0.0
