TIME,POSITION,R1,R2,CCR,ANGLE,A1,A2,DA1,DA2,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF,PREDICTED_R1,PREDICTED_DIFF_R1,CONTRIBUTION_RHO1_1,CONTRIBUTION_RHO2_1,CONTRIBUTION_H_1,PREDICTED_R2,PREDICTED_DIFF_R2,CONTRIBUTION_RHO1_2,CONTRIBUTION_RHO2_2,CONTRIBUTION_H_2
34.25,-0.105,114.499,158.488,3590,20.8203511372498,5.03999246110609,4.65150634685174,0.458881426447946,0.552668279756221,4.931771199294382,0.0014698950971598266,4.758226557593693,0.0017665400640271209,3.524310752765811,0.042956409980685,0.03848817663665995,0.17102175292731123,110.07101920579797,-0.9910587989356259,-1.014212745132582,0.6203818713689486,-1.0863583754264,164.51484008358727,-0.8164050233505691,-1.2322334681716427,1.21574964415899,-1.4466987687117694
35.75,0,114.267,158.321,3571,21.8745029270048,5.02355025608089,4.64134892323309,0.324824741779262,0.537116950632862,4.926660909617269,9.96404901065727E-5,4.771469808843215,1.399153893214373E-4,3.8060757209690177,0.0011909118713703847,0.03784231422192745,0.3174095711944482,110.319938177062,0.2489189712640325,-0.05488562297203714,0.158843191243065,0.16232781541766883,164.92095789513513,0.4061178115478583,-0.06493930468343478,0.283330075208994,0.210140391551505
37.25,-0.105,113.849,157.902,3564,23.6401339393418,5.00819913015522,4.63227526633436,0.313817122427774,0.691068541632175,5.132739438030087,0.054870584329271416,8.633205537806569E-14,0.11572056031459554,19.126413486558107,1.2100667375460055,0.017213681959934318,0.3088393394503211,113.29965590060435,2.9797177235423504,2.3826758974425815,-79.0054980343242,1.636327832306165,161.83706371701598,-3.0838941781191522,2.8322369089446227,-132.30587076036483,2.8696986789422567
38.75,0,113.561,157.703,3549,26.7395243889402,4.99329298457709,4.62340095779924,0.317812442805469,0.825169365081812,5.12331227931632,0.055388748147180894,1.3253084863781665E-13,0.1144372255005133,18.975227736381967,1.1899879797296327,0.01615516426543108,0.2626595419416576,113.01660218060388,-0.283053720000467,-0.20809430349734725,5.684341886080802E-14,-0.07509734569391924,161.29090921089204,-0.5461545061239406,-0.2972416004845684,2.2737367544323206E-13,-0.24937091821806234
40.25,-0.105,113.192,157.243,3536,30.6346877028069,4.97913432932013,4.61448445826398,0.232488954309664,0.836990837953138,5.100686965421355,0.054166000674341436,2.488844598528045E-13,0.11650188210430754,19.217861990774004,1.2223445321155852,0.016207934858448875,0.35117422355548,112.63625448405539,-0.38034769654849754,-0.499098231821975,1.2789769243681803E-13,0.11927728160260642,160.973527105295,-0.3173821055970336,-0.7122847974802085,5.115907697472721E-13,0.39665437698357664
41.75,0,112.887,157.096,3518,34.0946696756907,4.96695928607466,4.60567539840057,0.0833957794801696,0.772526760202653,5.0338688060588845,0.05208797564908489,1.0003803522057966E-13,0.12003101973796416,19.625483364770123,1.2783011287130062,0.014686942624031257,0.5714805459383535,111.3460568847759,-1.2901975992794803,-1.4755163869354533,-1.7053025658242404E-13,0.18777865714491782,159.4874281677434,-1.486098937551617,-2.108726699006894,-6.536993168992922E-13,0.6308923473224581
43.25,-0.105,112.728,156.659,3509,36.9869019119689,4.95776976253508,4.59805227917963,-0.0510966104887069,0.743406579172315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.75,0,112.522,156.64,3495,39.3516337510094,4.95177800485047,4.59240540597018,-0.184037266862098,0.734202413170382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.25,-0.105,112.513,156.341,3480,41.22911453218,4.94840145797598,4.58799543914274,-0.308416359421642,0.671689622267698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.75,0,112.411,156.361,3473,42.6595935948486,4.94602287378137,4.58441163900232,-0.33209517934199,0.597112017210193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
